epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,984.572,1.70283,1.23546,1.20831,0.87465,0.76591,0.85675,0.44473,1.65884,1.05361,1.23473,0.00116305,0.00116305,0.00116305
43,1035.72,1.59576,1.0927,1.18846,0.812,0.71317,0.7898,0.4142,1.66294,1.13106,1.24273,0.00114121,0.00114121,0.00114121
44,1090.71,1.64704,1.06722,1.14944,0.84687,0.68939,0.80704,0.42201,1.64152,1.12369,1.22953,0.00111913,0.00111913,0.00111913
45,1116.18,1.64811,0.9976,1.13326,0.85484,0.7324,0.83119,0.43426,1.6465,1.07164,1.22816,0.00109683,0.00109683,0.00109683
46,1134.19,1.65827,1.1037,1.18663,0.8038,0.77727,0.84294,0.44212,1.61795,1.07395,1.21775,0.00107431,0.00107431,0.00107431
47,1187.74,1.70064,1.07306,1.15999,0.77737,0.8,0.80643,0.41106,1.64072,1.09128,1.21306,0.00105161,0.00105161,0.00105161
48,1238.15,1.59745,1.0319,1.14037,0.84921,0.74924,0.81612,0.43045,1.65903,1.07926,1.21703,0.00102873,0.00102873,0.00102873
49,1251.83,1.62286,1.05881,1.13017,0.85664,0.80641,0.84841,0.43095,1.69954,1.06532,1.24306,0.0010057,0.0010057,0.0010057
50,1272.64,1.60987,1.0099,1.13293,0.84494,0.82063,0.84232,0.42886,1.7147,1.05233,1.25317,0.000982544,0.000982544,0.000982544
51,1324.89,1.62605,0.94918,1.09842,0.82692,0.78636,0.83367,0.4614,1.6311,0.98585,1.21277,0.000959268,0.000959268,0.000959268
52,1377.86,1.63173,0.9854,1.10711,0.79679,0.81136,0.83341,0.46337,1.59038,0.95065,1.19674,0.000935897,0.000935897,0.000935897
53,1416.42,1.59233,1.04875,1.15315,0.88082,0.75504,0.87204,0.45391,1.59406,0.95951,1.20115,0.000912449,0.000912449,0.000912449
54,1453.63,1.60238,0.98374,1.10896,0.83041,0.75409,0.87089,0.45899,1.60582,0.96598,1.20462,0.000888943,0.000888943,0.000888943
55,1509.37,1.60159,1.00722,1.11512,0.78233,0.78333,0.84417,0.45728,1.64873,0.99743,1.21561,0.000865398,0.000865398,0.000865398
56,1529.59,1.66537,1.04875,1.167,0.77379,0.775,0.83476,0.45944,1.63351,0.99496,1.21756,0.000841835,0.000841835,0.000841835
57,1542.04,1.68658,1.06392,1.16935,0.78639,0.79773,0.85132,0.45007,1.67364,0.99105,1.2298,0.000818272,0.000818272,0.000818272
58,1554.36,1.60283,0.95795,1.12163,0.7404,0.77197,0.81439,0.42919,1.67511,1.00361,1.22427,0.000794727,0.000794727,0.000794727
59,1566.9,1.56455,0.99133,1.11456,0.72702,0.78517,0.79765,0.42315,1.68146,0.99136,1.22482,0.000771221,0.000771221,0.000771221
60,1580.12,1.56881,0.92952,1.0747,0.81613,0.73855,0.82071,0.43442,1.67605,0.97957,1.22825,0.000747773,0.000747773,0.000747773
61,1594.4,1.55656,0.94243,1.09309,0.88332,0.73258,0.84322,0.44699,1.67362,0.98894,1.2306,0.000724402,0.000724402,0.000724402
62,1611.66,1.57568,0.93144,1.09474,0.84285,0.74091,0.84612,0.43989,1.68989,0.99135,1.22826,0.000701126,0.000701126,0.000701126
63,1654.94,1.47245,0.90342,1.09122,0.86546,0.77727,0.84797,0.44188,1.67215,0.97917,1.21635,0.000677965,0.000677965,0.000677965
64,1667.69,1.4872,1.09889,1.08836,0.86236,0.77363,0.85094,0.44488,1.6888,0.9806,1.22118,0.000654938,0.000654938,0.000654938
65,1681.63,1.52429,0.94652,1.09249,0.87289,0.76894,0.84923,0.4524,1.66401,0.97351,1.21474,0.000632063,0.000632063,0.000632063
66,1696.55,1.52549,0.93663,1.06947,0.85281,0.76021,0.82982,0.44688,1.66866,0.984,1.22059,0.000609359,0.000609359,0.000609359
67,1711.14,1.45738,0.89841,1.08246,0.84144,0.79649,0.85419,0.45732,1.64865,0.95909,1.21723,0.000586845,0.000586845,0.000586845
68,1726.12,1.50627,0.90491,1.10672,0.8434,0.78864,0.86238,0.46889,1.63751,0.94207,1.21592,0.000564539,0.000564539,0.000564539
69,1740.96,1.51983,0.91448,1.08597,0.81433,0.83156,0.86998,0.467,1.68311,0.9632,1.25139,0.000542459,0.000542459,0.000542459
70,1755.56,1.4744,0.92915,1.0835,0.81131,0.80833,0.86632,0.46367,1.6826,0.97184,1.24543,0.000520623,0.000520623,0.000520623
71,1770.29,1.52053,0.8794,1.06189,0.7862,0.88182,0.8643,0.4655,1.68491,0.95948,1.24682,0.000499049,0.000499049,0.000499049
72,1784.3,1.56448,0.9849,1.10735,0.81074,0.84263,0.85097,0.46078,1.66591,0.95225,1.24174,0.000477755,0.000477755,0.000477755
73,1798.64,1.50801,0.89671,1.06847,0.86373,0.80711,0.85397,0.46494,1.64743,0.93797,1.23652,0.000456757,0.000456757,0.000456757
74,1812.86,1.48678,0.87087,1.07217,0.84927,0.81656,0.85529,0.46808,1.66413,0.94521,1.23877,0.000436074,0.000436074,0.000436074
75,1828.49,1.52249,0.91835,1.0826,0.87944,0.80685,0.86929,0.466,1.68487,0.93195,1.2353,0.000415722,0.000415722,0.000415722
76,1843.35,1.43697,0.8905,1.06755,0.83534,0.82633,0.87173,0.47237,1.66298,0.93935,1.22452,0.000395717,0.000395717,0.000395717
77,1857.98,1.41712,0.95637,1.0939,0.81554,0.84926,0.8608,0.47438,1.62481,0.93211,1.20696,0.000376076,0.000376076,0.000376076
78,1873.01,1.46314,0.87977,1.06473,0.80232,0.86617,0.86176,0.47258,1.63381,0.92788,1.21507,0.000356815,0.000356815,0.000356815
79,1887.72,1.41423,0.86078,1.05606,0.83842,0.86063,0.8783,0.47457,1.65565,0.91989,1.22499,0.00033795,0.00033795,0.00033795
80,1902.39,1.48752,0.91787,1.11804,0.81327,0.85379,0.87741,0.47603,1.65486,0.92042,1.2291,0.000319495,0.000319495,0.000319495
81,1917.82,1.42502,0.85098,1.05018,0.82078,0.83691,0.871,0.46765,1.64704,0.93763,1.22762,0.000301467,0.000301467,0.000301467
82,1933.2,1.46574,0.88876,1.06948,0.8138,0.82402,0.86247,0.45896,1.63893,0.94539,1.22441,0.000283879,0.000283879,0.000283879
83,1948.08,1.44434,0.85264,1.05868,0.80014,0.84889,0.86584,0.44924,1.63431,0.93904,1.23136,0.000266747,0.000266747,0.000266747
84,1962.29,1.42871,0.82248,1.05885,0.78483,0.84974,0.85477,0.45365,1.63538,0.93396,1.23384,0.000250083,0.000250083,0.000250083
85,1976.78,1.4098,0.83109,1.04103,0.79071,0.86243,0.86111,0.47077,1.63174,0.92704,1.23611,0.000233902,0.000233902,0.000233902
86,1990.93,1.39257,0.83462,1.07017,0.79139,0.85737,0.86573,0.47793,1.62845,0.92734,1.23582,0.000218217,0.000218217,0.000218217
87,2005.17,1.40131,0.81554,1.04412,0.81993,0.81374,0.8625,0.48153,1.61071,0.91338,1.22198,0.00020304,0.00020304,0.00020304
88,2019.44,1.4457,0.81298,1.03862,0.83286,0.81786,0.86481,0.47979,1.61411,0.90284,1.22429,0.000188385,0.000188385,0.000188385
89,2034.01,1.41136,0.83314,1.03493,0.84052,0.8294,0.86919,0.47976,1.62033,0.89812,1.22607,0.000174262,0.000174262,0.000174262
90,2047.84,1.41651,0.82985,1.03974,0.85411,0.82741,0.86803,0.48052,1.62676,0.8966,1.22716,0.000160684,0.000160684,0.000160684
91,2062.28,1.44686,0.8064,1.03854,0.85315,0.82273,0.8587,0.4724,1.63502,0.9058,1.22792,0.000147662,0.000147662,0.000147662
92,2077.29,1.40491,0.82844,1.03841,0.85468,0.82273,0.85849,0.46896,1.63176,0.90727,1.22468,0.000135206,0.000135206,0.000135206
93,2091.96,1.4101,0.82148,1.03537,0.8576,0.83106,0.86397,0.47237,1.6149,0.89949,1.21752,0.000123326,0.000123326,0.000123326
94,2106.43,1.44674,0.84061,1.03654,0.85965,0.83088,0.86387,0.4738,1.6147,0.90108,1.2185,0.000112032,0.000112032,0.000112032
95,2120.78,1.40946,0.81728,1.02199,0.85635,0.82028,0.86061,0.47566,1.62462,0.89867,1.2211,0.000101333,0.000101333,0.000101333
96,2134.3,1.38852,0.81789,1.06997,0.85695,0.82326,0.86004,0.47493,1.62567,0.90189,1.21972,9.12385e-05,9.12385e-05,9.12385e-05
97,2148.19,1.42084,0.81449,1.02818,0.84772,0.82951,0.86228,0.47272,1.6263,0.89859,1.21943,8.1756e-05,8.1756e-05,8.1756e-05
98,2161.89,1.39098,0.80584,1.04013,0.85017,0.82883,0.86345,0.47435,1.62418,0.8952,1.21523,7.28934e-05,7.28934e-05,7.28934e-05
99,2175.16,1.39111,0.81534,1.05917,0.85791,0.83106,0.86482,0.47609,1.62571,0.89936,1.2144,6.4658e-05,6.4658e-05,6.4658e-05
100,2188.5,1.45184,0.82214,1.06511,0.85355,0.83088,0.86393,0.47099,1.62817,0.89787,1.21481,5.70564e-05,5.70564e-05,5.70564e-05
101,2200.87,1.38331,0.82507,1.0604,0.85499,0.81871,0.86347,0.46522,1.63318,0.90003,1.21325,5.0095e-05,5.0095e-05,5.0095e-05
102,2213.5,1.34548,0.78417,1.03693,0.83501,0.82721,0.85782,0.46535,1.63348,0.90098,1.21592,4.37793e-05,4.37793e-05,4.37793e-05
103,2226.4,1.39938,0.81583,1.07674,0.8293,0.81797,0.85332,0.4704,1.64004,0.90514,1.21595,3.81145e-05,3.81145e-05,3.81145e-05
104,2239.46,1.39761,0.8262,1.08238,0.83951,0.81814,0.85599,0.47888,1.6448,0.90563,1.21641,3.31052e-05,3.31052e-05,3.31052e-05
105,2253.2,1.39495,0.80887,1.0512,0.83677,0.81681,0.85902,0.47759,1.64076,0.90943,1.211,2.87555e-05,2.87555e-05,2.87555e-05
106,2267.61,1.32355,0.77759,1.03969,0.84233,0.82046,0.8556,0.47536,1.64548,0.90987,1.21325,2.5069e-05,2.5069e-05,2.5069e-05
107,2282.21,1.34565,0.76192,1.03864,0.83834,0.8217,0.85547,0.47772,1.64289,0.91295,1.21319,2.20486e-05,2.20486e-05,2.20486e-05
108,2296.2,1.37544,0.78965,1.0487,0.84405,0.82003,0.85369,0.47744,1.6459,0.91013,1.21487,1.96969e-05,1.96969e-05,1.96969e-05
109,2309.82,1.4754,0.97348,1.06534,0.8443,0.82273,0.85549,0.47259,1.63863,0.91214,1.21326,1.80158e-05,1.80158e-05,1.80158e-05
110,2323.55,1.37234,0.78452,1.03915,0.84132,0.82273,0.85776,0.47193,1.63635,0.91329,1.21274,1.70065e-05,1.70065e-05,1.70065e-05
